id,Estimate,MarginOfError,CTYNAME,STNAME
0500000US01001,21397,325,Autauga County, Alabama
0500000US01003,80930,1127,Baldwin County, Alabama
0500000US01005,9345,313,Barbour County, Alabama
0500000US01007,6891,333,Bibb County, Alabama
0500000US01009,20847,394,Blount County, Alabama
0500000US01011,3521,255,Bullock County, Alabama
0500000US01013,6506,290,Butler County, Alabama
0500000US01015,44605,644,Calhoun County, Alabama
0500000US01017,13448,405,Chambers County, Alabama
0500000US01019,10737,445,Cherokee County, Alabama
0500000US01021,16927,473,Chilton County, Alabama
0500000US01023,5300,267,Choctaw County, Alabama
0500000US01025,9090,350,Clarke County, Alabama
0500000US01027,5198,240,Clay County, Alabama
0500000US01029,5680,199,Cleburne County, Alabama
0500000US01031,19924,343,Coffee County, Alabama
0500000US01033,21880,440,Colbert County, Alabama
0500000US01035,4553,274,Conecuh County, Alabama
0500000US01037,4032,248,Coosa County, Alabama
0500000US01039,14852,376,Covington County, Alabama
0500000US01041,4943,207,Crenshaw County, Alabama
0500000US01043,31034,570,Cullman County, Alabama
0500000US01045,18806,470,Dale County, Alabama
0500000US01047,15910,419,Dallas County, Alabama
0500000US01049,26040,620,DeKalb County, Alabama
0500000US01051,29708,497,Elmore County, Alabama
0500000US01053,13089,449,Escambia County, Alabama
0500000US01055,38942,643,Etowah County, Alabama
0500000US01057,6802,239,Fayette County, Alabama
0500000US01059,11048,339,Franklin County, Alabama
0500000US01061,10383,331,Geneva County, Alabama
0500000US01063,2951,246,Greene County, Alabama
0500000US01065,5650,231,Hale County, Alabama
0500000US01067,6630,236,Henry County, Alabama
0500000US01069,39311,452,Houston County, Alabama
0500000US01071,20695,494,Jackson County, Alabama
0500000US01073,261231,1769,Jefferson County, Alabama
0500000US01075,5856,268,Lamar County, Alabama
0500000US01077,38471,588,Lauderdale County, Alabama
0500000US01079,12677,322,Lawrence County, Alabama
0500000US01081,60237,864,Lee County, Alabama
0500000US01083,32143,509,Limestone County, Alabama
0500000US01085,4251,145,Lowndes County, Alabama
0500000US01087,7474,264,Macon County, Alabama
0500000US01089,148189,1035,Madison County, Alabama
0500000US01091,7361,331,Marengo County, Alabama
0500000US01093,11997,363,Marion County, Alabama
0500000US01095,34883,428,Marshall County, Alabama
0500000US01097,156251,1081,Mobile County, Alabama
0500000US01099,8166,294,Monroe County, Alabama
0500000US01101,89527,878,Montgomery County, Alabama
0500000US01103,45918,654,Morgan County, Alabama
0500000US01105,3070,314,Perry County, Alabama
0500000US01107,7637,279,Pickens County, Alabama
0500000US01109,11601,426,Pike County, Alabama
0500000US01111,8702,372,Randolph County, Alabama
0500000US01113,23262,550,Russell County, Alabama
0500000US01115,32036,656,St. Clair County, Alabama
