STNAME,CTYNAME,TOT_POP,HISPANIC OR WHITE,POC,HISPANIC OR WHITE_perc,POC_perc
Alabama,Autauga County,55869,42886,12983,76.76171042975534,23.23828957024466
Alabama,Baldwin County,223234,196281,26953,87.92612236487274,12.073877635127275
Alabama,Barbour County,24686,12352,12334,50.036457911366774,49.963542088633226
Alabama,Bibb County,22394,17286,5108,77.19031883540235,22.80968116459765
Alabama,Blount County,57826,55758,2068,96.42375402068274,3.576245979317264
Alabama,Bullock County,10101,2985,7116,29.551529551529555,70.44847044847045
Alabama,Butler County,19448,10226,9222,52.581242287124645,47.418757712875355
Alabama,Calhoun County,113605,86078,27527,75.76955239646142,24.23044760353858
Alabama,Chambers County,33254,19202,14052,57.74342936188128,42.25657063811871
Alabama,Cherokee County,26196,24463,1733,93.38448618109636,6.6155138189036515
Alabama,Chilton County,44428,39117,5311,88.0458269559737,11.954173044026305
Alabama,Choctaw County,12589,7219,5370,57.3437127651124,42.6562872348876
Alabama,Clarke County,23622,12619,11003,53.42054017441369,46.57945982558631
Alabama,Clay County,13235,11069,2166,83.63430298451078,16.365697015489214
Alabama,Cleburne County,14910,14226,684,95.41247484909458,4.587525150905421
Alabama,Coffee County,52342,40509,11833,77.39291582285735,22.60708417714265
Alabama,Colbert County,55241,44724,10517,80.96160460527506,19.03839539472493
Alabama,Conecuh County,12067,6354,5713,52.65600397779066,47.34399602220934
Alabama,Coosa County,10663,7225,3438,67.7576666979274,32.242333302072595
Alabama,Covington County,37049,31461,5588,84.91727172123403,15.082728278765972
Alabama,Crenshaw County,13772,10010,3762,72.68370607028753,27.31629392971247
Alabama,Cullman County,83768,80548,3220,96.15605004297585,3.8439499570241646
Alabama,Dale County,49172,36875,12297,74.99186528918895,25.008134710811035
Alabama,Dallas County,37196,10461,26735,28.123991827078186,71.87600817292181
Alabama,DeKalb County,71513,67877,3636,94.91560974927631,5.084390250723672
Alabama,Elmore County,81209,61914,19295,76.24031819133346,23.75968180866655
Alabama,Escambia County,36633,23046,13587,62.91049054131521,37.08950945868479
Alabama,Etowah County,102268,83437,18831,81.58661555911917,18.413384440880836
Alabama,Fayette County,16302,14038,2264,86.11213348055455,13.887866519445453
