STNAME,CTYNAME,TOT_POP,WA,POC,WA_perc,POC_perc
Alabama,Autauga County,55869,42607,13262,76.26232794573019,23.737672054269808
Alabama,Baldwin County,223234,195198,28036,87.44098121253928,12.5590187874607
Alabama,Barbour County,24686,12134,12552,49.15336628048286,50.84663371951714
Alabama,Bibb County,22394,17191,5203,76.76609806198088,23.233901938019123
Alabama,Blount County,57826,55412,2414,95.82540725625151,4.174592743748492
Alabama,Bullock County,10101,2689,7412,26.621126621126628,73.37887337887338
Alabama,Butler County,19448,10127,9321,52.07219251336899,47.92780748663101
Alabama,Calhoun County,113605,85322,28283,75.10408872848906,24.89591127151093
Alabama,Chambers County,33254,18970,14284,57.045768930053526,42.95423106994648
Alabama,Cherokee County,26196,24409,1787,93.17834783936479,6.82165216063521
Alabama,Chilton County,44428,38677,5751,87.05546052039256,12.944539479607455
Alabama,Choctaw County,12589,7191,5398,57.12129636984669,42.87870363015331
Alabama,Clarke County,23622,12518,11104,52.99297265261198,47.00702734738802
Alabama,Clay County,13235,11015,2220,83.22629391764262,16.773706082357382
Alabama,Cleburne County,14910,14176,734,95.07712944332664,4.922870556673375
Alabama,Coffee County,52342,39669,12673,75.78808604944405,24.211913950555953
Alabama,Colbert County,55241,44440,10801,80.44749370938254,19.552506290617462
Alabama,Conecuh County,12067,6245,5822,51.75271401342504,48.24728598657496
Alabama,Coosa County,10663,7118,3545,66.75419675513457,33.245803244865435
Alabama,Covington County,37049,31311,5738,84.51240249399443,15.487597506005555
Alabama,Crenshaw County,13772,9939,3833,72.16816729596282,27.831832704037186
Alabama,Cullman County,83768,80188,3580,95.72629166268743,4.27370833731257
Alabama,Dale County,49172,36273,12899,73.76759131212886,26.232408687871146
Alabama,Dallas County,37196,10259,26937,27.580922679858052,72.41907732014195
Alabama,DeKalb County,71513,66303,5210,92.71461132940864,7.285388670591344
Alabama,Elmore County,81209,61461,19748,75.68249824526839,24.31750175473161
Alabama,Escambia County,36633,22815,13818,62.2799115551552,37.72008844484481
Alabama,Etowah County,102268,82501,19767,80.671373254586,19.328626745414
Alabama,Fayette County,16302,13980,2322,85.75634891424366,14.24365108575634
Alabama,Franklin County,31362,28757,2605,91.69376953000445,8.30623046999554
Alabama,Geneva County,26271,22895,3376,87.14932815652243,12.850671843477585
Alabama,Greene County,8111,1500,6611,18.49340401923314,81.50659598076686
Alabama,Hale County,14651,5963,8688,40.700293495324544,59.299706504675456
Alabama,Henry County,17205,12315,4890,71.57802964254577,28.421970357454228
Alabama,Houston County,105882,72872,33010,68.8237849681721,31.176215031827887
Alabama,Jackson County,51626,47173,4453,91.37450122031531,8.625498779684676
Alabama,Jefferson County,658573,349516,309057,53.071717182453575,46.928282817546425
Alabama,Lamar County,13805,12083,1722,87.52625860195582,12.473741398044186
Alabama,Lauderdale County,92729,80633,12096,86.95553710274024,13.044462897259764
Alabama,Lawrence County,32924,25757,7167,78.23168509294132,21.768314907058677
Alabama,Lee County,164542,116411,48131,70.74850190224987,29.25149809775013
Alabama,Limestone County,98915,80121,18794,80.99984835464792,19.000151645352076
Alabama,Lowndes County,9726,2527,7199,25.981904174377945,74.01809582562204
Alabama,Macon County,18068,3130,14938,17.323444764224046,82.67655523577595
Alabama,Madison County,372909,256828,116081,68.8714941178679,31.128505882132107
Alabama,Marengo County,18863,8793,10070,46.61506653236495,53.38493346763505
Alabama,Marion County,29709,27939,1770,94.04220943148542,5.957790568514582
Alabama,Marshall County,96774,89814,6960,92.80798561597125,7.192014384028767
