Utility ID,Plant Name,State,County,Technology,Nameplate Capacity (MW),Latitude,Longitude
63560,Sand Point,AK,Aleutians East,Petroleum,0.9,55.339722,-160.497222
63560,Sand Point,AK,Aleutians East,Petroleum,0.9,55.339722,-160.497222
63560,Sand Point,AK,Aleutians East,Petroleum,0.5,55.339722,-160.497222
63560,Sand Point,AK,Aleutians East,Petroleum,0.7,55.339722,-160.497222
63560,Sand Point,AK,Aleutians East,Wind,0.5,55.339722,-160.497222
63560,Sand Point,AK,Aleutians East,Wind,0.5,55.339722,-160.497222
195,Bankhead Dam,AL,Tuscaloosa,Hydroelectric,53.9,33.458665,-87.356823
195,Barry,AL,Mobile,Natural Gas,153.1,31.0069,-88.0103
195,Barry,AL,Mobile,Natural Gas,153.1,31.0069,-88.0103
195,Barry,AL,Mobile,Coal,403.7,31.0069,-88.0103
195,Barry,AL,Mobile,Coal,788.8,31.0069,-88.0103
195,Barry,AL,Mobile,Natural Gas,170.1,31.0069,-88.0103
195,Barry,AL,Mobile,Natural Gas,170.1,31.0069,-88.0103
195,Barry,AL,Mobile,Natural Gas,195.2,31.0069,-88.0103
195,Barry,AL,Mobile,Natural Gas,170.1,31.0069,-88.0103
195,Barry,AL,Mobile,Natural Gas,170.1,31.0069,-88.0103
195,Barry,AL,Mobile,Natural Gas,195.2,31.0069,-88.0103
195,Walter Bouldin Dam,AL,Elmore,Hydroelectric,75.0,32.583889,-86.283056
195,Walter Bouldin Dam,AL,Elmore,Hydroelectric,75.0,32.583889,-86.283056
195,Walter Bouldin Dam,AL,Elmore,Hydroelectric,75.0,32.583889,-86.283056
195,Gadsden,AL,Etowah,Natural Gas,69.0,34.0128,-85.9708
195,Gadsden,AL,Etowah,Natural Gas,69.0,34.0128,-85.9708
5701,Copper,TX,El Paso,Natural Gas,86.9,31.7569,-106.375
195,Greene County,AL,Greene,Natural Gas,299.2,32.6017,-87.7811
195,Greene County,AL,Greene,Natural Gas,269.2,32.6017,-87.7811
195,Greene County,AL,Greene,Natural Gas,80.0,32.6017,-87.7811
195,Greene County,AL,Greene,Natural Gas,80.0,32.6017,-87.7811
195,Greene County,AL,Greene,Natural Gas,80.0,32.6017,-87.7811
195,Greene County,AL,Greene,Natural Gas,80.0,32.6017,-87.7811
195,Greene County,AL,Greene,Natural Gas,80.0,32.6017,-87.7811
195,Greene County,AL,Greene,Natural Gas,80.0,32.6017,-87.7811
195,Greene County,AL,Greene,Natural Gas,80.0,32.6017,-87.7811
195,Greene County,AL,Greene,Natural Gas,80.0,32.6017,-87.7811
195,Greene County,AL,Greene,Natural Gas,80.0,32.6017,-87.7811
