STNAME,CTYNAME,TOT_POP,NHWA,NHBA,H,NHWA_perc,NHBA_perc,H_perc
Alabama,Autauga County,55869,41215,11098,1671,73.77078522973386,19.864325475666288,2.9909252000214788
Alabama,Baldwin County,223234,185747,19215,10534,83.20730713063422,8.607559780320202,4.718815234238512
Alabama,Barbour County,24686,11235,11807,1117,45.511626022846954,47.82872883415701,4.524831888519809
Alabama,Bibb County,22394,16663,4719,623,74.4083236581227,21.072608734482447,2.7819951772796285
Alabama,Blount County,57826,50176,872,5582,86.77065679798015,1.5079721924393867,9.653097222702591
Alabama,Bullock County,10101,2121,6978,864,20.997920997921,69.08226908226908,8.553608553608555
Alabama,Butler County,19448,9937,8680,289,51.09522830111065,44.631838749485816,1.4860139860139858
Alabama,Calhoun County,113605,81464,23855,4614,71.7081114387571,20.998195501958538,4.061440957704327
Alabama,Chambers County,33254,18331,13231,871,55.12419558549348,39.787694713417935,2.6192337763878037
Alabama,Cherokee County,26196,24014,1069,449,91.6704840433654,4.080775690945182,1.7140021377309511
Alabama,Chilton County,44428,35481,4412,3636,79.86179886558025,9.930674349509317,8.184028090393445
Alabama,Choctaw County,12589,7091,5234,128,56.32695210104059,41.575979029311306,1.0167606640718088
Alabama,Clarke County,23622,12309,10569,310,52.10820421640843,44.74218948437897,1.3123359580052494
Alabama,Clay County,13235,10634,1786,435,80.34756327918399,13.494522100491126,3.2867397053267853
Alabama,Cleburne County,14910,13839,410,387,92.81690140845072,2.749832327297116,2.595573440643862
Alabama,Coffee County,52342,36338,8930,4171,69.42417179320621,17.060868900691606,7.968744029651141
Alabama,Colbert County,55241,42935,8839,1789,77.72306801107872,16.000796509838707,3.23853659419634
Alabama,Conecuh County,12067,6077,5485,277,50.36048727935692,45.45454545454545,2.2955166984337447
Alabama,Coosa County,10663,6945,3253,280,65.1317640438901,30.50736190565507,2.625902654037325
Alabama,Covington County,37049,30774,4581,687,83.06297066047665,12.364706199897435,1.854301060757376
Alabama,Crenshaw County,13772,9677,3250,333,70.26575660760963,23.598605866976477,2.417949462677897
Alabama,Cullman County,83768,76796,1045,3752,91.67701270174769,1.2474930761149845,4.479037341228153
